DateTime;time_t;rawT;T
2025-01-21 15:45;1737470730;21.67;21.67
2025-01-21 15:46;1737470730;21.67;21.67
2025-01-21 15:47;1737470858;21.6;21.6
2025-01-21 15:48;1737470918;21.57;21.57
2025-01-21 15:49;1737470978;21.54;21.54
2025-01-21 15:50;1737471038;21.5;21.5
2025-01-21 15:51;1737471098;21.47;21.47
2025-01-21 15:52;1737471158;21.47;21.47
2025-01-21 15:53;1737471218;21.4;21.4
2025-01-21 15:54;1737471278;21.4;21.4
2025-01-21 15:55;1737471338;21.33;21.33
2025-01-21 15:56;1737471398;21.29;21.29
2025-01-21 15:57;1737471458;21.22;21.22
2025-01-21 15:58;1737471518;21.22;21.22
2025-01-21 15:59;1737471578;21.19;21.19
2025-01-21 16:00;1737471638;21.12;21.12
2025-01-21 16:01;1737471698;21.12;21.12
2025-01-21 16:02;1737471758;21.05;21.05
2025-01-21 16:03;1737471818;21.02;21.02
2025-01-21 16:04;1737471878;21.02;21.02
2025-01-21 16:05;1737471938;20.95;20.95
2025-01-21 16:06;1737471998;20.91;20.91
2025-01-21 16:07;1737472058;20.91;20.91
2025-01-21 16:08;1737472118;20.88;20.88
2025-01-21 16:09;1737472178;20.85;20.85
2025-01-21 16:10;1737472238;20.85;20.85
2025-01-21 16:11;1737472298;20.81;20.81
2025-01-21 16:12;1737472358;20.78;20.78
2025-01-21 16:13;1737472418;20.74;20.74
2025-01-21 16:14;1737472478;20.74;20.74
2025-01-21 16:15;1737472538;20.71;20.71
2025-01-21 16:16;1737472598;20.67;20.67
2025-01-21 16:17;1737472658;20.67;20.67
2025-01-21 16:18;1737472718;20.67;20.67
2025-01-21 16:19;1737472778;20.67;20.67
2025-01-21 16:20;1737472838;20.64;20.64
2025-01-21 16:21;1737472898;20.6;20.6
2025-01-21 16:22;1737472958;20.6;20.6
2025-01-21 16:23;1737473018;20.57;20.57
2025-01-21 16:24;1737473078;20.57;20.57
2025-01-21 16:25;1737473138;20.54;20.54
2025-01-21 16:26;1737473198;20.5;20.5
2025-01-21 16:27;1737473258;20.5;20.5
2025-01-21 16:28;1737473318;20.47;20.47
2025-01-21 16:29;1737473378;20.47;20.47
2025-01-21 16:30;1737473438;20.47;20.47
2025-01-21 16:31;1737473498;20.47;20.47
2025-01-21 16:32;1737473558;20.4;20.4
2025-01-21 16:33;1737473618;20.4;20.4
2025-01-21 16:34;1737473678;20.4;20.4
2025-01-21 16:35;1737473738;20.36;20.36
2025-01-21 16:36;1737473798;20.36;20.36
2025-01-21 16:37;1737473858;20.33;20.33
2025-01-21 16:38;1737473918;20.33;20.33
2025-01-21 16:39;1737473978;20.26;20.26
2025-01-21 16:40;1737474038;20.29;20.29
2025-01-21 16:41;1737474098;20.26;20.26
2025-01-21 16:42;1737474158;20.22;20.22
2025-01-21 16:43;1737474218;20.19;20.19
2025-01-21 16:44;1737474278;20.19;20.19
